sec,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
-4.764,1,1,-4,3,1,4,0,-1
-4.76,-6,0,-5,4,0,4,0,-2
-4.756,-2,0,4,-4,0,-3,0,2
-4.752,3,3,8,-6,1,-2,-3,2
-4.748,1,7,2,2,0,0,0,0
-4.744,-1,2,-4,4,1,4,0,-2
-4.74,0,-4,-8,0,2,1,0,0
-4.736,0,-6,-1,-3,0,-1,0,1
-4.732,0,-5,8,-1,1,-4,0,4
-4.728,2,-1,2,2,-1,-5,0,1
-4.724,0,7,-3,0,0,-1,-2,-1
-4.72,-2,9,-2,-2,3,4,0,-3
-4.716,-1,2,2,-1,3,4,1,-1
-4.712,0,-5,0,2,0,0,-1,0
-4.708,0,-7,0,2,-1,-3,0,0
-4.704,2,-1,0,-1,0,2,-2,0
-4.7,5,2,-1,-5,1,1,0,0
-4.696,-2,5,-5,-2,1,-4,1,-1
-4.692,-5,4,-1,1,-1,-5,-3,0
-4.688,3,0,5,2,1,0,-3,0
-4.684,5,-5,5,0,1,5,-1,-1
-4.68,-2,-1,1,2,0,0,1,-1
-4.676,-4,2,-2,0,2,-2,1,1
-4.672,-2,3,-4,-4,2,1,0,1
-4.668,2,0,-3,-1,0,2,-1,0
-4.664,9,-4,-2,4,-1,-4,-2,0
-4.66,1,-2,2,4,0,-8,0,1
-4.656,-7,2,4,1,2,1,0,-2
-4.652,-4,5,5,-5,0,4,1,-1
-4.648,0,0,0,-4,0,0,0,1
-4.644,3,-5,-4,0,1,-4,-3,3
-4.64,3,0,-6,3,2,0,1,0
-4.636,0,6,-5,2,0,1,0,-1
-4.632,-2,1,4,2,0,0,-2,0
-4.628,0,-7,11,0,0,-3,-1,1
-4.624,6,0,2,-2,1,-2,1,-1
-4.62,-1,6,-5,-1,0,-1,0,-2
-4.616,-7,4,-5,0,0,0,-1,0
-4.612,-1,0,0,1,0,2,0,1
-4.608,5,-1,0,1,1,2,0,-1
-4.604,2,-5,2,1,0,-2,-2,0
-4.6,0,-5,0,-1,0,-4,0,-2
-4.596,0,3,1,0,2,-2,1,-3
-4.592,-1,10,0,1,-1,3,0,1
-4.588,-1,4,-6,0,0,5,0,2
-4.584,0,-4,-3,-5,2,-1,0,-1
-4.58,3,-8,4,-2,2,-6,0,-3
-4.576,0,-4,9,-2,-1,-5,-1,-1
-4.572,0,5,0,2,2,-1,0,1
-4.568,0,5,-3,8,0,4,0,0
-4.564,-2,-1,-2,3,-2,3,-2,0
-4.56,0,1,-3,-8,-1,0,1,1
-4.556,4,6,-3,-9,1,2,1,2
-4.552,-1,0,4,3,1,-1,0,-1
-4.548,-6,-8,7,7,2,-10,-1,0
-4.544,5,-3,2,3,2,-11,1,0
-4.54,9,4,-5,0,0,5,0,0
-4.536,-1,5,0,-1,-1,12,-2,-1
-4.532,-9,4,3,-5,0,3,-3,0
-4.528,-1,-5,-5,-5,2,-2,-1,0
-4.524,4,-2,-5,-1,2,-4,2,0
-4.52,1,2,1,5,0,-3,1,-1
-4.516,-2,1,3,7,1,-3,0,1
-4.512,1,-3,0,-2,1,-1,0,0
-4.508,4,2,1,-5,1,4,0,-2
-4.504,2,4,2,-4,0,4,0,0
-4.5,-5,-1,-4,-3,0,-1,0,1
-4.496,-3,0,-4,1,-1,-1,0,0
-4.492,1,3,3,2,-2,1,-2,-2
-4.488,5,0,8,2,0,-2,4,0
-4.484,-1,-9,-1,0,2,-6,1,1
-4.48,-2,-4,-3,-1,0,-1,-3,0
-4.476,2,9,-2,0,0,4,-1,1
-4.472,4,10,-2,0,1,4,1,0
-4.468,0,0,1,0,1,0,0,0
-4.464,-4,-9,6,-2,-2,-1,0,0
-4.46,-3,-6,1,-2,-2,-3,0,0
-4.456,3,3,-3,0,0,-3,0,0
-4.452,6,7,-5,2,4,0,-1,-3
-4.448,2,2,-5,3,1,3,0,0
-4.444,-6,-3,-1,1,0,3,1,1
-4.44,-4,-2,6,0,0,0,-1,2
-4.436,4,1,4,0,0,0,0,0
-4.432,9,4,-1,-4,-1,0,0,0
-4.428,1,0,-3,-7,-1,-3,0,0
-4.424,-7,-3,-5,0,0,-1,0,2
-4.42,-3,-3,-3,6,1,3,0,0
-4.416,0,1,4,6,3,4,-1,0
-4.412,0,3,5,1,3,0,0,-1
-4.408,-1,2,-2,0,-1,-1,0,-2
-4.404,5,2,-4,-5,-1,0,0,2
-4.4,6,2,0,-8,0,-2,0,2
-4.396,-3,0,1,0,0,-7,-1,1
-4.392,-7,-5,0,5,-1,2,1,2
-4.388,-1,-3,0,6,0,8,0,0
-4.384,6,0,0,-1,1,3,-1,-3
-4.38,2,7,0,-2,1,-4,-2,0
-4.376,-1,9,0,0,3,-3,0,0
-4.372,1,1,-4,1,2,2,0,1
-4.368,0,-7,-3,-2,0,1,0,0
-4.364,-3,-6,3,-4,-2,0,0,0
-4.36,0,-1,5,1,0,-1,0,-1
-4.356,3,1,1,2,-1,1,0,0
-4.352,3,7,-1,1,0,0,-1,1
-4.348,1,8,-1,0,0,0,-1,0
-4.344,-1,0,-2,-2,0,2,0,0
-4.34,-3,-5,3,0,0,0,-1,0
-4.336,-2,-5,3,-2,0,-2,0,-2
-4.332,5,-3,-3,0,2,0,0,0
-4.328,1,0,-4,2,1,0,1,2
-4.324,0,0,-1,0,-3,-3,0,0
-4.32,1,1,2,-1,-1,-1,0,0
-4.316,0,4,3,0,0,4,-1,0
-4.312,-2,2,1,2,-2,1,0,1
-4.308,0,-3,-1,-2,0,-2,1,1
-4.304,1,-3,-5,-3,2,1,1,0
-4.3,-1,0,-4,1,1,0,-1,-2
-4.296,0,-1,4,1,2,-2,-1,-2
-4.292,2,2,2,2,1,1,0,1
-4.288,8,6,-1,4,1,0,0,2
-4.284,1,2,1,-1,-1,-4,0,0
-4.28,-4,-4,2,-5,-3,0,0,1
-4.276,-3,-3,-2,-1,-4,2,0,0
-4.272,0,0,-3,4,-2,0,0,-2
-4.268,0,1,-1,2,5,0,1,0
-4.264,0,5,1,0,3,5,0,0
-4.26,3,4,2,0,2,-1,-2,0
-4.256,7,-3,0,-1,-1,-9,-1,0
-4.252,0,-5,0,-3,-2,-1,0,0
-4.248,-6,0,0,-1,-1,8,0,1
-4.244,-1,3,-1,-1,0,6,-1,0
-4.24,6,4,0,0,2,-3,0,-1
-4.236,2,1,0,5,0,-5,0,-1
-4.232,-5,0,-3,3,-1,2,0,0
-4.228,-1,-1,-8,-4,1,4,-2,1
-4.224,4,-2,2,-5,0,0,-2,0
-4.22,5,0,10,0,0,-3,0,1
-4.216,2,4,5,1,0,-1,0,-1
-4.212,-2,2,-5,0,-2,2,0,-2
-4.208,-5,0,-5,2,0,-2,0,0
-4.204,-3,0,0,-1,2,-3,-2,1
-4.2,6,0,1,-1,0,1,0,0
-4.196,7,1,-1,1,0,1,-1,0
-4.192,-1,1,-3,0,1,1,0,0
-4.188,-3,0,2,-1,0,2,1,0
-4.184,-2,-1,1,3,-3,-1,0,0
-4.18,-2,0,-1,6,2,-6,0,-1
-4.176,5,4,1,-1,4,-6,0,-1
-4.172,8,1,4,-6,2,-2,-3,0
-4.168,0,2,-1,-2,-2,5,-2,1
-4.164,-9,2,-8,1,-4,8,1,0
-4.16,-4,-3,-3,0,-2,5,0,0
-4.156,6,-2,3,0,4,-4,0,-1
-4.152,6,3,4,4,3,-6,0,1
-4.148,0,3,-1,2,-1,-4,-1,0
-4.144,-2,-1,-5,-4,0,1,0,-1
-4.14,2,0,0,-8,1,2,-1,0
-4.136,3,3,6,0,-4,-1,-1,0
-4.132,0,2,3,7,-2,-4,-3,0
-4.128,-4,0,-7,2,0,4,0,2
-4.124,0,0,-5,-2,1,7,0,0
-4.12,5,1,3,2,0,0,1,-1
-4.116,3,4,-1,2,-1,-7,1,-1
-4.112,-1,2,-4,-7,-1,-1,0,1
-4.108,1,0,3,-8,2,4,0,0
-4.104,0,-5,8,2,2,0,-2,0
-4.1,-1,-10,0,6,0,-3,0,3
-4.096,0,0,-2,2,-2,5,2,1
-4.092,3,10,-1,-1,0,4,0,-3
-4.088,-3,7,-1,0,1,-1,0,-2
-4.084,-3,-4,1,-2,2,0,0,0
-4.08,2,-5,2,-4,3,1,0,0
-4.076,3,0,-1,0,0,-8,0,0
-4.072,-3,0,0,1,0,-6,0,0
-4.068,0,-3,3,1,1,10,0,1
-4.064,3,0,1,2,0,10,-2,0
-4.06,-2,5,-5,0,-1,-3,-2,1
-4.056,-5,5,0,-3,-3,-7,1,0
-4.052,-1,-1,3,-4,2,0,0,-1
-4.048,1,-6,-2,-1,3,2,0,-1
-4.044,5,0,-2,2,1,2,-1,0
-4.04,4,2,1,7,0,-1,0,2
-4.036,0,1,-1,1,1,-7,1,2
-4.032,-3,0,-4,-7,1,-1,0,1
-4.028,-2,0,0,-6,0,7,-3,-1
-4.024,-4,1,6,2,-4,4,-1,0
-4.02,-1,0,0,3,-1,-4,-1,1
-4.016,5,-1,-5,0,1,-6,3,0
-4.012,5,2,-4,0,2,0,1,0
-4.008,2,4,-3,0,2,4,-1,1
-4.004,0,1,-1,-1,2,3,-1,2
-4.0,-4,-6,1,1,1,2,-1,0
-3.996,-6,-5,4,1,1,-4,-3,0
-3.992,2,2,4,-3,-2,-6,0,0
-3.988,3,5,-1,-4,-3,-3,2,0
-3.984,4,3,-1,0,-1,1,1,1
-3.98,2,-1,0,5,1,8,-2,0
-3.976,0,-3,0,0,1,4,-2,0
-3.972,-5,1,0,0,0,-3,2,0
-3.968,-1,3,0,0,2,-7,1,0
-3.964,0,0,0,-1,2,0,0,-2
-3.96,-1,-5,-1,1,-1,1,-1,-1
-3.956,1,0,-6,3,-3,-4,0,1
-3.952,1,3,2,-2,-3,-2,1,0
-3.948,0,3,6,-4,1,4,0,-4
-3.944,-1,0,2,1,4,6,0,-1
-3.94,-2,-1,-5,4,2,0,0,0
-3.936,-2,0,-1,1,-1,-2,0,1
-3.932,0,2,0,-3,-2,4,0,0
-3.928,4,1,-1,0,1,0,0,0
-3.924,2,-4,-2,0,1,-12,-1,-1
-3.92,0,-3,0,-1,-1,-6,0,0
-3.916,-2,4,4,0,-2,5,0,0
-3.912,-5,4,1,4,3,8,0,-1
-3.908,1,0,0,0,0,2,0,0
-3.904,6,0,1,-2,-1,-2,0,-2
-3.9,1,2,-2,2,1,-5,0,0
-3.896,0,0,-3,1,0,-2,0,0
-3.892,1,-6,-2,-1,-2,4,0,1
-3.888,0,-3,2,-3,0,3,0,1
-3.884,-2,6,0,-1,2,-5,-1,-2
-3.88,1,5,0,-1,2,-3,-2,-1
-3.876,1,0,3,0,-2,4,-1,1
-3.872,0,-5,3,4,0,5,-1,0
-3.868,-1,0,0,2,1,-1,-1,0
-3.864,-1,1,-7,0,1,0,0,0
-3.86,0,1,-6,-1,0,0,0,-1
-3.856,4,5,2,-4,0,-5,0,0
-3.852,5,3,8,-1,2,-8,0,1
-3.848,0,-5,6,6,2,1,0,0
-3.844,-5,-10,-2,4,1,5,0,-3
-3.84,-4,1,-1,-3,-1,2,0,0
-3.836,0,8,-1,-4,-1,0,-3,1
-3.832,3,3,-5,1,-1,0,-1,1
-3.828,3,-4,-2,3,-1,-2,1,0
-3.824,3,2,4,2,0,0,2,0
-3.82,-2,4,1,0,4,2,0,0
-3.816,-5,0,0,-2,0,-1,0,0
-3.812,0,-3,-2,-5,-4,-5,-1,1
-3.808,3,1,0,0,0,0,0,0
-3.804,2,6,-1,3,1,3,0,0
-3.8,3,0,-1,3,0,0,0,0
-3.796,0,-2,-1,1,0,-1,0,0
-3.792,-5,2,1,0,1,0,0,0
-3.788,-2,3,1,-5,0,-2,1,0
-3.784,6,1,-3,-2,2,-2,0,1
-3.78,3,0,-2,5,3,-3,0,1
-3.776,-2,1,0,2,1,0,-2,-1
-3.772,0,-1,5,-4,-1,3,-4,0
-3.768,4,0,5,-4,-1,1,0,1
-3.764,0,3,-2,0,-1,-2,0,-1
-3.76,-1,2,-5,1,-2,-3,0,0
-3.756,-3,0,-1,4,1,0,-1,0
-3.752,-2,0,1,6,2,2,-1,0
-3.748,0,0,-5,-2,1,1,1,1
-3.744,6,0,-3,-9,-1,-3,3,3
-3.74,3,0,3,-4,0,-4,0,0
-3.736,3,4,6,3,1,-3,-4,-1
-3.732,2,4,-1,7,0,1,-1,0
-3.728,-5,0,-5,8,0,5,1,1
-3.724,-6,-5,0,0,2,0,0,0
-3.72,0,-3,1,-9,0,-5,0,-1
-3.716,0,2,-5,-7,-1,0,0,0
-3.712,4,4,-4,2,3,3,-1,3
-3.708,3,0,2,5,2,0,0,0
-3.704,0,-1,8,4,0,-5,1,0
-3.7,-2,1,3,0,0,-3,0,0
-3.696,0,2,-2,-2,1,3,-2,0
-3.692,-2,-1,-5,-4,0,4,0,0
-3.688,-5,-1,-4,-1,3,-1,0,0
-3.684,-1,0,0,1,2,0,0,0
-3.68,5,3,3,1,0,-1,0,0
-3.676,4,3,-1,1,-2,-5,0,0
-3.672,0,2,-1,1,0,0,-1,0
-3.668,-2,1,4,1,3,7,-1,-1
-3.664,-1,-1,4,0,0,2,0,-1
-3.66,-1,-1,-2,-4,0,-10,0,0
-3.656,0,3,-4,-1,0,-6,0,0
-3.652,-1,1,0,3,0,9,0,1
-3.648,1,0,2,3,2,7,2,1
-3.644,2,0,-2,2,2,-3,0,-1
-3.64,1,1,-3,-2,-1,-3,-2,-1
-3.636,-6,3,-1,-5,0,1,-2,0
-3.632,-1,3,1,2,1,-6,0,0
-3.628,4,-3,7,3,-1,-3,0,-2
-3.624,4,-6,6,-5,0,8,0,0
-3.62,-3,2,-5,-4,1,5,0,1
-3.616,1,10,-11,8,1,-5,-1,2
